text,label,language,priority
Government office not responding in Nehru Nagar,Public Services,English,Low
Industrial Area में सड़क में दरारें हैं,Roads,Hindi,Low
Rajendra Nagar में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Ward 12 में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Civil Lines में नाली से बदबू आ रही है,Sanitation,Hindi,Low
Ward 12 में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
MG Road में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Road is damaged in Rajendra Nagar,Roads,English,Low
Green Park में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
City Center में पानी की कमी है,Water,Hindi,Medium
Citizen service center closed in MG Road,Public Services,English,Low
Unclean streets in MG Road,Sanitation,English,Low
Main Market के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Station Road में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Green Park में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Water contamination issue in Rajendra Nagar,Water,English,Medium
Waterlogging on roads in Old City,Roads,English,Medium
Pipeline burst near Old City,Water,English,High
Sector 5 में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Broken road causing accidents in Sector 5,Roads,English,High
Potholes on road near Main Market,Roads,English,Low
Old City में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Old City में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Village Area में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Civil Lines में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Bad smell from drainage in Sector 5,Sanitation,English,Medium
Garbage has not been collected in City Center,Sanitation,English,Medium
Civil Lines में सड़क असमान है,Roads,Hindi,Low
Hospital service issue in Subhash Chowk,Public Services,English,Low
Industrial Area में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
City Center में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Shivaji Colony में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Ward 12 में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Main Market में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Green Park में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Industrial Area में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Low voltage issue in Sector 5,Electricity,English,Low
Subhash Chowk के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Ward 12 में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Public sanitation issue in Station Road,Sanitation,English,Low
Water tank is overflowing in Subhash Chowk,Water,English,High
Subhash Chowk के पास पुल क्षतिग्रस्त है,Roads,Hindi,Medium
Potholes on road near Sector 5,Roads,English,Low
Bridge damaged near Village Area,Roads,English,Low
Water supply is not available in Industrial Area,Water,English,Low
Industrial Area में पीने का पानी नहीं है,Water,Hindi,Medium
Drain blockage reported in Village Area,Sanitation,English,Low
City Center में गंदा पानी आ रहा है,Water,Hindi,Medium
Public toilet is dirty in Ward 12,Public Services,English,Low
School facility complaint in Station Road,Public Services,English,Low
Sector 5 में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Bridge damaged near Industrial Area,Roads,English,Low
Main Market के पास सड़क में गड्ढे हैं,Roads,Hindi,Medium
Rajendra Nagar के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Water tank is overflowing in Shivaji Colony,Water,English,High
Nehru Nagar के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Short circuit reported in Village Area,Electricity,English,Low
Public safety concern in Sector 5,Public Services,English,Low
Road cracks reported in Ward 12,Roads,English,Medium
Sector 5 में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
Garbage has not been collected in Shivaji Colony,Sanitation,English,Low
Low voltage issue in Shivaji Colony,Electricity,English,Medium
Dirty water coming in taps at Main Market,Water,English,Low
Traffic issue due to bad roads in Industrial Area,Roads,English,Medium
Traffic issue due to bad roads in City Center,Roads,English,Medium
Poor public transport in Old City,Public Services,English,Medium
Power outage for several hours in Station Road,Electricity,English,Medium
Public safety concern in Shivaji Colony,Public Services,English,Medium
Main Market के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Road repair needed in Civil Lines,Roads,English,Medium
Green Park में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Government office not responding in Sector 5,Public Services,English,Medium
Transformer exploded near Rajendra Nagar,Electricity,English,High
Broken water pipe in MG Road,Water,English,Medium
Delay in government service at Civil Lines,Public Services,English,Medium
Rajendra Nagar में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
Green Park में वोल्टेज की समस्या है,Electricity,Hindi,Low
MG Road में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Drain blockage reported in Nehru Nagar,Sanitation,English,Medium
Frequent voltage fluctuations in Station Road,Electricity,English,Low
Sector 5 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Shivaji Colony में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Green Park में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Old City में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Public toilet is dirty in Old City,Public Services,English,Low
Old City में पानी का प्रेशर कम है,Water,Hindi,Medium
Sewage overflow in Civil Lines,Sanitation,English,High
Delay in government service at Station Road,Public Services,English,Medium
Industrial Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Sewage overflow in Industrial Area,Sanitation,English,High
Village Area में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Poor public transport in Ward 12,Public Services,English,Medium
Overflowing garbage bins in Subhash Chowk,Sanitation,English,High
Ward 12 में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Medium
Subhash Chowk में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Station Road में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
MG Road की सड़कें गंदी हैं,Sanitation,Hindi,Low
Shivaji Colony में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Medium
Drain blockage reported in City Center,Sanitation,English,Medium
Old City में पानी दूषित है,Water,Hindi,Low
Electric wires are hanging dangerously in Shivaji Colony,Electricity,English,High
Village Area में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Old City में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Civil Lines में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
MG Road में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Shivaji Colony में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
Electric wires are hanging dangerously in Old City,Electricity,English,High
Industrial Area में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Overflowing garbage bins in MG Road,Sanitation,English,High
Power cut since morning in Green Park,Electricity,English,Medium
Sector 5 में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Low water pressure in Rajendra Nagar,Water,English,Medium
Public sanitation issue in Civil Lines,Sanitation,English,Low
Green Park में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
No drinking water in Shivaji Colony,Water,English,Low
Rajendra Nagar में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Sector 5 में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Industrial Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Green Park में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Low voltage issue in Shivaji Colony,Electricity,English,Medium
Civil Lines में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Nehru Nagar में सड़क में दरारें हैं,Roads,Hindi,Medium
Nehru Nagar में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Medium
Frequent voltage fluctuations in Old City,Electricity,English,Low
City Center में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Subhash Chowk में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
School facility complaint in Industrial Area,Public Services,English,Medium
City Center में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Old City में पानी की सप्लाई नहीं है,Water,Hindi,Low
Power cut since morning in Village Area,Electricity,English,Medium
Low voltage issue in Sector 5,Electricity,English,Low
Subhash Chowk में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Civil Lines में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Rajendra Nagar में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Mosquito problem due to dirty drains in Industrial Area,Sanitation,English,Low
Nehru Nagar में सड़क खराब है,Roads,Hindi,Low
Mosquito problem due to dirty drains in Civil Lines,Sanitation,English,Medium
Sewage overflow in Subhash Chowk,Sanitation,English,High
Industrial Area में पानी की पाइप टूट गई है,Water,Hindi,Low
School facility complaint in Old City,Public Services,English,Low
There is no electricity in Industrial Area,Electricity,English,Low
Water shortage reported in MG Road,Water,English,Medium
Road is damaged in City Center,Roads,English,Medium
Power cut since morning in Green Park,Electricity,English,Low
Station Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Sewage overflow in MG Road,Sanitation,English,High
Sector 5 में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Short circuit reported in Station Road,Electricity,English,Medium
Open drains causing problems in Green Park,Sanitation,English,Low
Street lights are not working in Main Market,Electricity,English,Low
Main Market के पास सड़क में गड्ढे हैं,Roads,Hindi,Medium
Village Area में बिजली नहीं है,Electricity,Hindi,Low
Potholes on road near Station Road,Roads,English,Medium
Green Park में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Electric pole damaged in Green Park,Electricity,English,Medium
Drain blockage reported in City Center,Sanitation,English,Low
Unclean streets in Sector 5,Sanitation,English,Low
Water contamination issue in Village Area,Water,English,Medium
Green Park के पास पाइपलाइन फट गई,Water,Hindi,High
Waterlogging on roads in Main Market,Roads,English,Medium
Subhash Chowk में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Main Market में बिजली नहीं है,Electricity,Hindi,Medium
Civil Lines में पानी का प्रेशर कम है,Water,Hindi,Medium
There is no electricity in Industrial Area,Electricity,English,Medium
Power cut since morning in Civil Lines,Electricity,English,Low
Industrial Area में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Ward 12 में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
City Center में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Low
Public sanitation issue in Civil Lines,Sanitation,English,Low
Main Market में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Water supply is not available in Village Area,Water,English,Medium
Low water pressure in Village Area,Water,English,Low
Subhash Chowk में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Village Area के पास सड़क में गड्ढे हैं,Roads,Hindi,Medium
Power cut since morning in Industrial Area,Electricity,English,Low
Unclean streets in City Center,Sanitation,English,Low
Sector 5 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Nehru Nagar के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Hospital service issue in Shivaji Colony,Public Services,English,Low
Ward 12 में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Street lights not functioning in Civil Lines,Public Services,English,Medium
Ward 12 में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
MG Road के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Rajendra Nagar में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Green Park में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Low water pressure in City Center,Water,English,Low
Ward 12 में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Public park maintenance issue in Station Road,Public Services,English,Low
Green Park में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Industrial Area में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
MG Road में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Pipeline burst near Green Park,Water,English,High
Water shortage reported in City Center,Water,English,Medium
Ward 12 में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Shivaji Colony में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Unclean streets in Sector 5,Sanitation,English,Medium
City Center में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Low
Public sanitation issue in Green Park,Sanitation,English,Low
Station Road में सड़क खराब है,Roads,Hindi,Low
Main Market में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Station Road की सड़कें गंदी हैं,Sanitation,Hindi,Low
Civil Lines में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Medium
Civil Lines में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Power cut since morning in Station Road,Electricity,English,Low
Citizen service center closed in Main Market,Public Services,English,Low
Nehru Nagar में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
Subhash Chowk में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
There is no electricity in Station Road,Electricity,English,Medium
Old City में गंदा पानी आ रहा है,Water,Hindi,Low
City Center में पानी की कमी है,Water,Hindi,Medium
Industrial Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Civil Lines में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Drain blockage reported in Green Park,Sanitation,English,Medium
Ward 12 में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Rajendra Nagar में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Village Area में पानी का प्रेशर कम है,Water,Hindi,Medium
Green Park में वोल्टेज की समस्या है,Electricity,Hindi,Low
Power outage for several hours in Main Market,Electricity,English,Medium
Station Road में पानी की पाइप टूट गई है,Water,Hindi,Medium
School facility complaint in Sector 5,Public Services,English,Low
Main Market में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
Frequent voltage fluctuations in Subhash Chowk,Electricity,English,Low
Water supply is not available in Old City,Water,English,Medium
Street lights not functioning in Main Market,Public Services,English,Medium
Rajendra Nagar में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Old City में सड़क में दरारें हैं,Roads,Hindi,Medium
Subhash Chowk में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Low voltage issue in Sector 5,Electricity,English,Low
Nehru Nagar में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Traffic issue due to bad roads in Old City,Roads,English,Low
Sewage overflow in Green Park,Sanitation,English,High
Water contamination issue in MG Road,Water,English,Medium
MG Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Power cut since morning in Sector 5,Electricity,English,Medium
Main Market में पानी दूषित है,Water,Hindi,Low
Public toilet is dirty in City Center,Public Services,English,Low
City Center में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
Public sanitation issue in Industrial Area,Sanitation,English,Low
Broken water pipe in Green Park,Water,English,Medium
Station Road में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Street lights not functioning in Ward 12,Public Services,English,Low
Ward 12 में गंदा पानी आ रहा है,Water,Hindi,Low
Civil Lines में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Electric wires are hanging dangerously in Station Road,Electricity,English,High
Shivaji Colony में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Uneven road surface in Subhash Chowk,Roads,English,Medium
Dirty water coming in taps at Subhash Chowk,Water,English,Medium
Green Park में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
School facility complaint in Subhash Chowk,Public Services,English,Medium
Industrial Area में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Civil Lines में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Civil Lines में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Hospital service issue in Rajendra Nagar,Public Services,English,Low
Village Area के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
MG Road में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Medium
Station Road में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Station Road में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Power cut since morning in Old City,Electricity,English,Medium
MG Road में पानी की कमी है,Water,Hindi,Medium
Water tank is overflowing in Sector 5,Water,English,High
Bridge damaged near Ward 12,Roads,English,Low
Potholes on road near Industrial Area,Roads,English,Low
Potholes on road near Industrial Area,Roads,English,Low
MG Road में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Ward 12 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Hospital service issue in Rajendra Nagar,Public Services,English,Low
Village Area में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Traffic issue due to bad roads in Village Area,Roads,English,Low
Subhash Chowk में सड़क पर पानी भर गया है,Roads,Hindi,Low
Poor public transport in Subhash Chowk,Public Services,English,Medium
Shivaji Colony में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
School facility complaint in Old City,Public Services,English,Medium
Water shortage reported in Old City,Water,English,Medium
Industrial Area के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Electric wires are hanging dangerously in Village Area,Electricity,English,High
Village Area के पास पाइपलाइन फट गई,Water,Hindi,High
Industrial Area में पीने का पानी नहीं है,Water,Hindi,Medium
MG Road में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Medium
Industrial Area में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
Public safety concern in Civil Lines,Public Services,English,Low
Green Park में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Water supply is not available in Station Road,Water,English,Medium
Water contamination issue in Subhash Chowk,Water,English,Low
Village Area में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
Green Park में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Medium
Old City की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Shivaji Colony में पानी का प्रेशर कम है,Water,Hindi,Medium
Nehru Nagar में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Low
Water supply is not available in Old City,Water,English,Low
Electric wires are hanging dangerously in City Center,Electricity,English,High
Bridge damaged near Industrial Area,Roads,English,Low
Water leakage from pipeline in Station Road,Water,English,Low
Nehru Nagar में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
Civil Lines में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Delay in government service at Sector 5,Public Services,English,Low
Civil Lines में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Rajendra Nagar में पानी की कमी है,Water,Hindi,Medium
Broken road causing accidents in Nehru Nagar,Roads,English,High
Garbage has not been collected in Rajendra Nagar,Sanitation,English,Low
Rajendra Nagar में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Water supply is not available in Ward 12,Water,English,Low
Rajendra Nagar में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Broken water pipe in Nehru Nagar,Water,English,Low
Station Road में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Drain blockage reported in Civil Lines,Sanitation,English,Medium
Electric pole damaged in Old City,Electricity,English,Low
Subhash Chowk के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Rajendra Nagar में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Nehru Nagar के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Broken water pipe in Nehru Nagar,Water,English,Low
Village Area में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Rajendra Nagar में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
Open drains causing problems in City Center,Sanitation,English,Medium
Pipeline burst near Green Park,Water,English,High
Old City के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Broken road causing accidents in Village Area,Roads,English,High
Main Market में वोल्टेज की समस्या है,Electricity,Hindi,Low
Civil Lines में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Sector 5 में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Green Park की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Sector 5 में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Shivaji Colony में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Broken road causing accidents in Sector 5,Roads,English,High
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Old City में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Bridge damaged near Industrial Area,Roads,English,Medium
MG Road के पास पाइपलाइन फट गई,Water,Hindi,High
Government office not responding in Nehru Nagar,Public Services,English,Low
Industrial Area में पानी का प्रेशर कम है,Water,Hindi,Medium
City Center में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
School facility complaint in Sector 5,Public Services,English,Low
Unclean streets in Old City,Sanitation,English,Medium
Open drains causing problems in Old City,Sanitation,English,Low
Road cracks reported in Sector 5,Roads,English,Low
MG Road में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Rajendra Nagar में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Sector 5 में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Ward 12 में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
City Center में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Street lights are not working in Village Area,Electricity,English,Medium
Uneven road surface in Rajendra Nagar,Roads,English,Low
Green Park में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Main Market में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Road is damaged in Old City,Roads,English,Medium
Village Area की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Industrial Area में पानी दूषित है,Water,Hindi,Medium
Green Park में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
Village Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Main Market में सड़क में दरारें हैं,Roads,Hindi,Medium
Water tank is overflowing in Rajendra Nagar,Water,English,High
Village Area में सुबह से बिजली गई हुई है,Electricity,Hindi,Low
Dirty water coming in taps at Subhash Chowk,Water,English,Medium
Potholes on road near Sector 5,Roads,English,Low
Subhash Chowk में वोल्टेज की समस्या है,Electricity,Hindi,Low
Potholes on road near City Center,Roads,English,Medium
Nehru Nagar में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Street lights not functioning in Sector 5,Public Services,English,Low
Public safety concern in Nehru Nagar,Public Services,English,Low
Mosquito problem due to dirty drains in Main Market,Sanitation,English,Low
Public sanitation issue in Main Market,Sanitation,English,Low
Low voltage issue in MG Road,Electricity,English,Low
No drinking water in Sector 5,Water,English,Low
Subhash Chowk में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Low
Industrial Area में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Nehru Nagar में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
Road is damaged in Sector 5,Roads,English,Low
Power cut since morning in Industrial Area,Electricity,English,Medium
Industrial Area के पास पाइपलाइन फट गई,Water,Hindi,High
Bad smell from drainage in Station Road,Sanitation,English,Medium
Main Market में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Civil Lines में पानी दूषित है,Water,Hindi,Low
Electric wires are hanging dangerously in Ward 12,Electricity,English,High
Old City के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Old City में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Government office not responding in Shivaji Colony,Public Services,English,Medium
Station Road में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Waterlogging on roads in Station Road,Roads,English,Low
Water contamination issue in Shivaji Colony,Water,English,Medium
Public toilet is dirty in Old City,Public Services,English,Medium
Sector 5 में पानी दूषित है,Water,Hindi,Medium
Mosquito problem due to dirty drains in Rajendra Nagar,Sanitation,English,Medium
Main Market के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Citizen service center closed in Nehru Nagar,Public Services,English,Low
Unclean streets in Green Park,Sanitation,English,Medium
Station Road के पास पाइपलाइन फट गई,Water,Hindi,High
